City,State,State Preemption Law,Preemption but Broad Regulation at Local Level,Extreme Preemption,Airports (Stricter than Fed),Courts Allowed,Govt-owned Bldg Allowed,Law Enforcement Stations Allowed,Public Transit Allowed,Parks Allowed,Bars Allowed,Historic Sites Allowed,Church Allowed,Distance (FT),,Notes,Other Notes,,
Atlanta,GA,1,,0,,0,0,1,1,1,1,1,0,,,https://www.ajc.com/news/local-govt--politics/guns-are-legal-parks-why-did-police-ban-them-peach-drop/whDkRc8fByZ4Ub1ZImOhrN/,https://www.womenslaw.org/laws/ga/statutes/16-11-126-possessing-or-carrying-handgun-or-long-gun,"Sec. 110-66. - Weapons. Pursuant to O.C.G.A. § 16-11-127, it is unlawful to carry a firearm to or while at a public gathering, as defined in O.C.G.A. § 16-11-127",2014 amendment to bars: https://lawcenter.giffords.org/other-location-restrictions-in-georgia/ and https://law.justia.com/codes/georgia/2018/title-16/chapter-11/article-4/part-3/section-16-11-127/
Auburn,AL,1,,0,,0,0,,0,0,0,,,,,Sec. 13-12. - Weapons ban on municipal facility or property,,,
Baltimore,MD,1,,0,,0,0,0,0,0,,0,0,300,,https://ca.baltimorecity.gov/codes/Art%2019%20-%20PoliceOrds.pdf,,,
Baton Rouge,LA,1,,0,,0,,0,,0,0,,,,,"Note: Ban on parks overturned in late 2020 but for analysis we have data only when park ordinances were in effect: https://www.theadvocate.com/baton_rouge/news/article_d3082510-b241-11ea-9e62-1ba532058933.html#:~:text=In%20addition%20to%20banning%20guns,liquor%20is%20sold%20or%20consume.",,,
Boston,MA,0,0,0,,,,,1,0,1,,0,,,https://www.boston.gov/departments/parks-and-recreation/parks-rules-and-regulations,https://www.nytimes.com/2010/10/04/us/04guns.html,,
Chicago,IL,1,,0,,0,0,0,0,0,0,,,1000,,Note: Chicago Supreme Court overturned 1000 ft from park in 2018,Ban on Assault Rifles: https://patch.com/illinois/highlandpark/cook-county-assault-weapons-ban-upheld-federal-appeals-court,https://www.atf.gov/file/133796/download,https://lawcenter.giffords.org/other-location-restrictions-in-illinois/
Cincinnati,OH,1,,1,,,1,1,,1,1,,1,,,https://www.cincinnati.com/story/news/politics/2019/06/06/cincinnati-sues-state-over-law-barring-local-gun-restrictions/1372340001/,Sec. 9-2021. - WEAPONS PROHIBITED.,,
Columbia,SC,1,,1,,,1,1,,1,1,,1,,,"https://www.cleveland.com/openers/2008/09/cities_cant_ban_guns_from_park.html#:~:text=While%20Ohio%20law%20does%20not,concealed%20handguns%20in%20these%20places%3A&text=Police%2C%20sheriff%20and%20highway%20patrol,and%20jails%2C%20prisons%20and%20courthouses.","It shall be unlawful for any person to openly carry or possess on or about his person any deadly weapon including but not limited to any: bowie knife, dirk, dagger, sling-shot, loaded cane, metal knuckles, razor, stun gun, pistol, revolver, gun, rifle, or nightstick at any meeting, assemblage, or parade on any property, street , alley or other public way, park, greenway. It shall be unlawful for any person to possess or carry a legally permitted concealed handgun on or at any City owned playground, athletic field, swimming pool, or athletic facility as defined in G.S. 14-415.23.",,
Dallas,TX,1,,0,,0,,,,1,1,,1,,,,,,
Denver,CO,1,0,0,,,,,0,0,1,1,1,,,https://www.denvergov.org/content/denvergov/en/denver-parks-and-recreation/parks/park-rules-public-policy.html,https://www.colorado.gov/pacific/csp/colorado-gun-laws,,
Detroit,MI,1,,,,0,,,0,0,0,,0,,,https://detroitmi.gov/departments/parks-recreation/about-parks-and-recreation/park-rules,,,
Gainesville,FL,1,0,1,,,0,0,,0,0,,,,,"Note: in 2011, Florida repealed many gun laws",https://www.wjhg.com/2020/07/15/appellate-court-mulls-penalties-for-local-officials-who-violate-gun-preemption/,,
Hartford,CT,0,0,0,,,,,,0,1,1,1,,,https://www.cga.ct.gov/2007/rpt/2007-R-0369.htm,"The permit to carry handguns allows people to carry them openly or concealed, but mature judgment, says the Board of Firearm Permit Examiners, dictates that (1) “every effort should be made to ensure that no gun is exposed to view or carried in any manner that would tend to alarm people who see it. . . [and] (2) no handgun should be carried unless carrying the gun at the time and place involved is prudent and proper in the circumstances. ” For example, according to the board, handguns should not be carried: 1. into a bar or other place where alcohol is being consumed;",,
Indianapolis,IN,1,0,0,,0,1,1,1,1,1,1,1,,,https://lawcenter.giffords.org/preemption-of-local-laws-in-indiana/,,,
Kansas City,MO,1,0,0,,0,1,0,1,1,0,,0,,,https://lawcenter.giffords.org/other-location-restrictions-in-missouri/,,,
